,symboling,fueltype_diesel,aspiration_turbo,enginelocation_front,wheelbase,carheight,curbweight,cylindernumber,stroke,compressionratio,peakrpm,citympg,price,gama_alta,drivewheel_4wd,drivewheel_fwd,drivewheel_rwd,carbody_convertible,carbody_hardtop,carbody_hatchback,carbody_sedan,carbody_wagon,enginetype_dohc,enginetype_dohcv,enginetype_l,enginetype_ohc,enginetype_ohcf,enginetype_ohcv,enginetype_rotor,fuelsystem_1bbl,fuelsystem_2bbl,fuelsystem_4bbl,fuelsystem_idi,fuelsystem_mfi,fuelsystem_mpfi,fuelsystem_spdi,fuelsystem_spfi
0,3,0,0,1,88.6,48.8,2548,4,2.68,9.0,5000,21,13495.0,1,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,3,0,0,1,88.6,48.8,2548,4,2.68,9.0,5000,21,16500.0,1,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2,1,0,0,1,94.5,52.4,2823,6,3.47,9.0,5000,19,16500.0,1,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
3,2,0,0,1,99.8,54.3,2337,4,3.4,10.0,5500,24,13950.0,1,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
4,2,0,0,1,99.4,54.3,2824,5,3.4,8.0,5500,18,17450.0,1,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
5,2,0,0,1,99.8,53.1,2507,5,3.4,8.5,5500,19,15250.0,1,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
6,1,0,0,1,105.8,55.7,2844,5,3.4,8.5,5500,19,17710.0,1,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
7,1,0,0,1,105.8,55.7,2954,5,3.4,8.5,5500,19,18920.0,1,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
8,1,0,1,1,105.8,55.9,3086,5,3.4,8.3,5500,17,23875.0,1,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
9,0,0,1,1,99.5,52.0,3053,5,3.4,7.0,5500,16,17859.168,1,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
10,2,0,0,1,101.2,54.3,2395,4,2.8,8.8,5800,23,16430.0,1,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
11,0,0,0,1,101.2,54.3,2395,4,2.8,8.8,5800,23,16925.0,1,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
12,0,0,0,1,101.2,54.3,2710,6,3.19,9.0,4250,21,20970.0,1,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
13,0,0,0,1,101.2,54.3,2765,6,3.19,9.0,4250,21,21105.0,1,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
14,1,0,0,1,103.5,55.7,3055,6,3.19,9.0,4250,20,24565.0,1,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
15,0,0,0,1,103.5,55.7,3230,6,3.39,8.0,5400,16,30760.0,1,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
16,0,0,0,1,103.5,53.7,3380,6,3.39,8.0,5400,16,41315.0,1,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
17,0,0,0,1,110.0,56.3,3505,6,3.39,8.0,5400,15,36880.0,1,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
18,2,0,0,1,88.4,53.2,1488,3,3.03,9.5,5100,47,5151.0,0,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
19,1,0,0,1,94.5,52.0,1874,4,3.11,9.6,5400,38,6295.0,0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
20,0,0,0,1,94.5,52.0,1909,4,3.11,9.6,5400,38,6575.0,0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
21,1,0,0,1,93.7,50.8,1876,4,3.23,9.41,5500,37,5572.0,0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
22,1,0,0,1,93.7,50.8,1876,4,3.23,9.4,5500,31,6377.0,0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
23,1,0,1,1,93.7,50.8,2128,4,3.39,7.6,5500,24,7957.0,0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
24,1,0,0,1,93.7,50.6,1967,4,3.23,9.4,5500,31,6229.0,0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
25,1,0,0,1,93.7,50.6,1989,4,3.23,9.4,5500,31,6692.0,0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
26,1,0,0,1,93.7,50.6,1989,4,3.23,9.4,5500,31,7609.0,0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
27,1,0,1,1,93.7,50.6,2191,4,3.39,7.6,5500,24,8558.0,0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
28,-1,0,0,1,103.3,59.8,2535,4,3.46,8.5,5000,24,8921.0,0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
29,3,0,1,1,95.9,50.2,2811,4,3.9,7.0,5000,19,12964.0,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
30,2,0,0,1,86.6,50.8,1713,4,3.41,9.6,4800,49,6479.0,0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
31,2,0,0,1,86.6,50.8,1819,4,3.41,9.2,6000,31,6855.0,0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
32,1,0,0,1,93.7,52.6,1837,4,3.07,10.1,5500,38,5399.0,0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
33,1,0,0,1,93.7,52.6,1940,4,3.41,9.2,6000,30,6529.0,0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
34,1,0,0,1,93.7,52.6,1956,4,3.41,9.2,6000,30,7129.0,0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
35,0,0,0,1,96.5,54.5,2010,4,3.41,9.2,6000,30,7295.0,0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
36,0,0,0,1,96.5,58.3,2024,4,3.41,9.2,6000,30,7295.0,0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
37,0,0,0,1,96.5,53.3,2236,4,3.58,9.0,5800,27,7895.0,0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
38,0,0,0,1,96.5,53.3,2289,4,3.58,9.0,5800,27,9095.0,0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
39,0,0,0,1,96.5,54.1,2304,4,3.58,9.0,5800,27,8845.0,0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
40,0,0,0,1,96.5,54.1,2372,4,3.58,9.0,5800,27,10295.0,1,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
41,0,0,0,1,96.5,54.1,2465,4,3.58,9.0,5800,24,12945.0,1,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
